Tag	Cage	Ear	Sex	Color	Name	Genotype	DOB	DOD	Father	Mother	Lineage	GenotypingLibrary	Plate	Notes
5279	AA0092	++/t	F	Agouti		5E,9I,13S,16ina	03/04/20	Breeder-May20	2751	2418/2421	1763PB#7		T965522-F03	
5280	AA0092	t/+	F	Agouti		5E,5I,16S,11ina	03/04/20	Breeder-May20	2751	2418/2421	1763PB#7		T965522-G03	
5281	AA0093	+/t	F	Black		5E,4I,11S,14ina	03/04/20	05/07/20	2751	2418/2421	1763PB#7		T965522-A04	
5282	AA0093	++/t	F	Black		5E,6I,16S,15ina	03/04/20	05/07/20	2751	2418/2421	1763PB#7		T965522-B04	
5283	AA0080	t/+	F	Black		5E,7I,13S,15ina	03/04/20	Breeder-May20	2751	2418/2421	1763PB#7		T965522-C04	
5284	AA0094	+/t	M	Black		4E,7I,13S,10ina	02/29/20	dispensible	2265	2410/2412	1763PB#7		T965522-D04	
5285	AA0094	++/t	M	Black		5E,6I,9S,5ina	02/29/20	dispensible	2265	2410/2412	1763PB#7		T965522-E04	
5286	AA0094	t/+	M	White		4E,6I,14S,11ina	02/29/20	dispensible	2265	2410/2412	1763PB#7		T965522-F04	
5287	AA0094	t/++	M	Agouti		4E,8I,13S,8ina	02/29/20	dispensible	2265	2410/2412	1763PB#7		T965522-G04	
5288	AA0095	+/t	F	White		4E,7I,14S,11ina	02/29/20	05/07/20	2265	2410/2412	1763PB#7		T965522-H04	
5289	AA0095	++/t	F	White			02/29/20	05/07/20	2265	2410/2412	1763PB#7		T965522-A05	
5290	AA0095	t/+	F	Agouti		4E,8I,14S,11ina	02/29/20	05/07/20	2265	2410/2412	1763PB#7		T965522-B05	
5291	AA0096	+/t	F	Black		5E,8I,11S,6ina	02/29/20	Breeder-May20	2265	2410/2412	1763PB#7		T965522-C05	
5292	AA0096	++/t	F	Black		4E,8I,8S,7ina	02/29/20	dispensible	2265	2410/2412	1763PB#7		T965522-D05	
5293	AA0096	t/+	F	Agouti		4E,8I,15S,12ina	02/29/20	dispensible	2265	2410/2412	1763PB#7		T965522-E05	
														
5294	AA0097	+/t	M	Black		1E,12I,3S,8ina	03/13/20	05/07/20	2694	2613/2639	1763PB#3		T965522-F05	
5295	AA0097	++/t	M	Black		3E,12I,4S,9ina	03/13/20	05/07/20	2694	2613/2639	1763PB#3		T965522-G05	
5296	AA0097	t/+	M	Black		3E,11I,6S,11ina	03/13/20	05/07/20	2694	2613/2639	1763PB#3		T965522-H05	
5297	AA0098	+/t	F	Black			03/13/20	5/07 - samples collected for gDNA template	2694	2613/2639	1763PB#3		T965522-A06	
